category	location	match
fs_write	./cli/input_whitelist.php:170			file_put_contents($config['input_whitelist'], json_encode($input));
fs_write	./cli/md5sum.php:171		if (file_put_contents($md5_file,$output) === false) {
fs_write	./cli/migrate_poller.php:241		$result = file_put_contents($migration_log_file, date('Y-m-d H:i:s') . " - $message" . PHP_EOL, FILE_APPEND);
fs_write	./cli/refresh_csrf.php:84		$fh = fopen(CACTI_CSRF_SECRET, 'w');
fs_write	./cli/rrdresize.php:247		$log_handle = fopen($tmp_backup_folder . 'tmp_rrdresize.log', 'w');
fs_write	./cli/rrdresize.php:860					if (!file_put_contents($tmp_xml_file, $rrd_new_header . $rrd_new_body . '</rrd>')) {
fs_write	./cli/splice_rrd.php:363	file_put_contents($newxmlfile, $new_xml);
fs_write	./cli/splice_rrd.php:74				if (($f = @fopen($path, 'a'))) {
fs_write	./cli/splice_rrd.php:83			if (($f = @fopen($path, 'w'))) {
fs_write	./cli/splice_rrd.php:939		return file_put_contents($xmlfile, $output);
fs_write	./host.php:620		$stdout = fopen('php://output', 'w');
fs_write	./include/global_languages.php:1168			file_put_contents($config['i18n_log'], $text . $eol, $mode);
fs_write	./include/global_languages.php:1185			file_put_contents($config['i18n_text_log'], $text . $eol, $mode);
fs_write	./include/themes/midwinter/update_hash.php:64			file_put_contents($cssFile, $fileUpdated);
fs_write	./install/functions.php:1306						$fp = fopen($config_file, 'w');
fs_write	./install/functions.php:1528			file_put_contents(CACTI_PATH_LOG . '/' . $logfile . '.log', sprintf($format_log1, $day, $time, $levelname, $data, PHP_EOL), $flags);
fs_write	./install/functions.php:1529			file_put_contents(CACTI_PATH_LOG . '/install-complete.log', sprintf($format_log2, $day, $time, $sectionname, $levelname, $data, PHP_EOL), $flags);
fs_write	./install/functions.php:281				$fh = fopen($file, 'w');
fs_write	./install/functions.php:771			file_put_contents($cacheFile, '<[version]> ' . $cacti_upgrade_version . ' <[status]> ' . $status . ' <[sql]> ' . clean_up_lines($sql) . ' <[error]> ' . $database_last_error . PHP_EOL, FILE_APPEND);
fs_write	./package_import.php:202							file_put_contents($xmlfile, $data);
fs_write	./package_import.php:420				file_put_contents($xmlfile, $_SESSION['sess_import_package']);
fs_write	./package_import.php:571			file_put_contents($xmlfile, $_SESSION['sess_import_package']);
fs_write	./package_import.php:619				file_put_contents($xmlfile, $data);
fs_write	./package_import.php:726						file_put_contents($xmlfile, $data);
fs_write	./package_import.php:752			file_put_contents($xmlfile, $_SESSION['sess_import_package']);
fs_write	./package_import.php:831						file_put_contents($xmlfile, $data);
fs_write	./package_import.php:847			file_put_contents($xmlfile, $_SESSION['sess_import_package']);
fs_write	./package_import.php:888					file_put_contents($xmlfile, $data);
fs_write	./script_server.php:50		define('STDIN', fopen('php://stdin', 'r'));
fs_write	./script_server.php:51		define('STDOUT', fopen('php://stdout', 'w'));
fs_write	./scripts/ss_net_snmp_disk_bytes.php:264				file_put_contents("$tmpdir/$tmpfile", $data);
fs_write	./scripts/ss_net_snmp_disk_io.php:266				file_put_contents("$tmpdir/$tmpfile", $data);
fs_write	./snmpagent_mibcachechild.php:90		$lock = fopen($path_mibcache_lock, 'w');
fs_write	./snmpagent_mibcachechild.php:94			file_put_contents($path_mibcache, '<?php $cache = ' . var_export($cache, true) . ';', LOCK_EX);
fs_write	./templates_import.php:63				$fp       = fopen($_FILES['import_file']['tmp_name'],'r');
fs_write	./utilities.php:191				$log_fh = fopen($logfile, 'w');
header_redirect	./aggregate_graphs.php:1083			header('Location: ' . $referer);
header_redirect	./aggregate_graphs.php:121			header('Location: aggregate_graphs.php?action=edit&id=' . gnrv('id'));
header_redirect	./aggregate_graphs.php:135				header('Location: aggregate_graphs.php?action=edit&id=' . $local_graph_id);
header_redirect	./aggregate_graphs.php:155				header('Location: aggregate_graphs.php?action=edit&id=' . $local_graph_id);
header_redirect	./aggregate_graphs.php:290			header('Location: aggregate_graphs.php?action=edit&id=' . $local_graph_id);
header_redirect	./aggregate_graphs.php:378				header('Location: ' . CACTI_PATH_URL . 'aggregate_graphs.php?action=item_edit&graph_template_item_id=' . (empty($graph_template_item_id) ? gfrv('graph_template_item_id') : $graph_template_item_id) . '&id=' . gfrv('local_graph_id'));
header_redirect	./aggregate_graphs.php:382				header('Location: ' . CACTI_PATH_URL . 'aggregate_graphs.php?action=edit&id=' . gfrv('local_graph_id'));
header_redirect	./aggregate_graphs.php:455			header('Location: ' . CACTI_PATH_URL . $location_failure);
