class	location	match
dynamic_include	./cli/add_device.php:30	require_once($config['base_path'] . '/lib/api_graph.php');
dynamic_include	./cli/add_device.php:31	require_once($config['base_path'] . '/lib/api_tree.php');
dynamic_include	./cli/add_device.php:32	require_once($config['base_path'] . '/lib/data_query.php');
dynamic_include	./cli/add_device.php:33	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/add_device.php:34	require_once($config['base_path'] . '/lib/snmp.php');
dynamic_include	./cli/add_device.php:35	require_once($config['base_path'] . '/lib/template.php');
dynamic_include	./cli/add_device.php:36	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/add_graph_template.php:27	require_once($config['base_path'] . '/lib/api_automation_tools.php');
dynamic_include	./cli/add_graphs.php:27	require_once($config['base_path'] . '/lib/api_automation_tools.php');
dynamic_include	./cli/add_graphs.php:28	require_once($config['base_path'] . '/lib/api_automation.php');
dynamic_include	./cli/add_graphs.php:29	require_once($config['base_path'] . '/lib/api_data_source.php');
dynamic_include	./cli/add_graphs.php:30	require_once($config['base_path'] . '/lib/api_graph.php');
dynamic_include	./cli/add_graphs.php:31	require_once($config['base_path'] . '/lib/api_device.php');
dynamic_include	./cli/add_graphs.php:32	require_once($config['base_path'] . '/lib/api_tree.php');
dynamic_include	./cli/add_graphs.php:33	require_once($config['base_path'] . '/lib/data_query.php');
dynamic_include	./cli/add_graphs.php:34	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/add_graphs.php:35	require_once($config['base_path'] . '/lib/snmp.php');
dynamic_include	./cli/add_graphs.php:36	require_once($config['base_path'] . '/lib/sort.php');
dynamic_include	./cli/add_graphs.php:37	require_once($config['base_path'] . '/lib/template.php');
dynamic_include	./cli/add_graphs.php:38	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/add_perms.php:27	require_once($config['base_path'] . '/lib/api_automation_tools.php');
dynamic_include	./cli/add_tree.php:27	require_once($config['base_path'] . '/lib/api_automation_tools.php');
dynamic_include	./cli/add_tree.php:28	require_once($config['base_path'] . '/lib/api_tree.php');
dynamic_include	./cli/apply_automation_rules.php:27	require_once($config['base_path'] . '/lib/api_automation_tools.php');
dynamic_include	./cli/apply_automation_rules.php:28	require_once($config['base_path'] . '/lib/api_automation.php');
dynamic_include	./cli/apply_automation_rules.php:29	require_once($config['base_path'] . '/lib/api_data_source.php');
dynamic_include	./cli/apply_automation_rules.php:30	require_once($config['base_path'] . '/lib/api_graph.php');
dynamic_include	./cli/apply_automation_rules.php:31	require_once($config['base_path'] . '/lib/api_device.php');
dynamic_include	./cli/apply_automation_rules.php:32	require_once($config['base_path'] . '/lib/api_tree.php');
dynamic_include	./cli/apply_automation_rules.php:33	require_once($config['base_path'] . '/lib/data_query.php');
dynamic_include	./cli/apply_automation_rules.php:34	require_once($config['base_path'] . '/lib/functions.php');
dynamic_include	./cli/apply_automation_rules.php:35	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/apply_automation_rules.php:36	require_once($config['base_path'] . '/lib/reports.php');
dynamic_include	./cli/apply_automation_rules.php:37	require_once($config['base_path'] . '/lib/template.php');
dynamic_include	./cli/apply_automation_rules.php:38	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/audit_database.php:212							include_once($plugin . '/setup.php');
dynamic_include	./cli/audit_database.php:214								include_once($plugin . '/includes/database.php');
dynamic_include	./cli/batchgapfix.php:35	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/change_device.php:27	require_once($config['base_path'] . '/lib/api_automation_tools.php');
dynamic_include	./cli/change_device.php:28	require_once($config['base_path'] . '/lib/api_device.php');
dynamic_include	./cli/change_device.php:29	require_once($config['base_path'] . '/lib/api_data_source.php');
dynamic_include	./cli/change_device.php:30	require_once($config['base_path'] . '/lib/api_graph.php');
dynamic_include	./cli/change_device.php:31	require_once($config['base_path'] . '/lib/api_tree.php');
dynamic_include	./cli/change_device.php:32	require_once($config['base_path'] . '/lib/data_query.php');
dynamic_include	./cli/change_device.php:33	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/change_device.php:34	require_once($config['base_path'] . '/lib/snmp.php');
dynamic_include	./cli/change_device.php:35	require_once($config['base_path'] . '/lib/template.php');
dynamic_include	./cli/change_device.php:36	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/float_rrdfiles.php:35	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/float_rrdfiles.php:36	require_once($config['base_path'] . '/lib/rrd.php');
dynamic_include	./cli/host_update_template.php:27	require_once($config['base_path'] . '/lib/api_automation_tools.php');
dynamic_include	./cli/host_update_template.php:28	require_once($config['base_path'] . '/lib/api_automation.php');
dynamic_include	./cli/host_update_template.php:29	require_once($config['base_path'] . '/lib/api_data_source.php');
dynamic_include	./cli/host_update_template.php:30	require_once($config['base_path'] . '/lib/api_graph.php');
dynamic_include	./cli/host_update_template.php:31	require_once($config['base_path'] . '/lib/api_device.php');
dynamic_include	./cli/host_update_template.php:32	require_once($config['base_path'] . '/lib/data_query.php');
dynamic_include	./cli/host_update_template.php:33	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/host_update_template.php:34	require_once($config['base_path'] . '/lib/snmp.php');
dynamic_include	./cli/host_update_template.php:35	require_once($config['base_path'] . '/lib/sort.php');
dynamic_include	./cli/host_update_template.php:36	require_once($config['base_path'] . '/lib/template.php');
dynamic_include	./cli/host_update_template.php:37	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/import_package.php:29	require_once($config['base_path'] . '/lib/import.php');
dynamic_include	./cli/import_package.php:30	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/import_package.php:31	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/import_package.php:32	require_once($config['base_path'] . '/lib/template.php');
dynamic_include	./cli/import_template.php:27	require_once($config['base_path'] . '/lib/import.php');
dynamic_include	./cli/import_template.php:28	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/import_template.php:29	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/input_whitelist.php:27	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/input_whitelist.php:28	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/input_whitelist.php:29	require_once($config['base_path'] . '/lib/template.php');
dynamic_include	./cli/install_cacti.php:163	include_once($config['base_path'] . '/lib/api_automation.php');
dynamic_include	./cli/install_cacti.php:164	include_once($config['base_path'] . '/lib/api_automation_tools.php');
dynamic_include	./cli/install_cacti.php:165	include_once($config['base_path'] . '/lib/api_data_source.php');
dynamic_include	./cli/install_cacti.php:166	include_once($config['base_path'] . '/lib/api_device.php');
dynamic_include	./cli/install_cacti.php:167	include_once($config['base_path'] . '/lib/data_query.php');
dynamic_include	./cli/install_cacti.php:168	include_once($config['base_path'] . '/lib/import.php');
dynamic_include	./cli/install_cacti.php:169	include_once($config['base_path'] . '/lib/installer.php');
dynamic_include	./cli/install_cacti.php:170	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/install_cacti.php:171	include_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/install_cacti.php:27	require_once($config['base_path'] . '/install/functions.php');
dynamic_include	./cli/poller_data_sources_reapply_names.php:27	require_once($config['base_path'] . '/lib/api_data_source.php');
dynamic_include	./cli/poller_data_sources_reapply_names.php:28	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/poller_data_sources_reapply_names.php:29	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/poller_graphs_reapply_names.php:27	require_once($config['base_path'] . '/lib/api_graph.php');
dynamic_include	./cli/poller_output_empty.php:27	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/poller_output_empty.php:28	require_once($config['base_path'] . '/lib/data_query.php');
dynamic_include	./cli/poller_output_empty.php:29	require_once($config['base_path'] . '/lib/dsstats.php');
dynamic_include	./cli/poller_output_empty.php:30	require_once($config['base_path'] . '/lib/dsdebug.php');
dynamic_include	./cli/poller_output_empty.php:31	require_once($config['base_path'] . '/lib/boost.php');
dynamic_include	./cli/poller_output_empty.php:32	require_once($config['base_path'] . '/lib/rrd.php');
dynamic_include	./cli/poller_reindex_hosts.php:27	require_once($config['base_path'] . '/lib/api_automation_tools.php');
dynamic_include	./cli/poller_reindex_hosts.php:28	require_once($config['base_path'] . '/lib/api_automation.php');
dynamic_include	./cli/poller_reindex_hosts.php:29	require_once($config['base_path'] . '/lib/api_data_source.php');
dynamic_include	./cli/poller_reindex_hosts.php:30	require_once($config['base_path'] . '/lib/api_graph.php');
dynamic_include	./cli/poller_reindex_hosts.php:31	require_once($config['base_path'] . '/lib/api_device.php');
dynamic_include	./cli/poller_reindex_hosts.php:32	require_once($config['base_path'] . '/lib/api_tree.php');
dynamic_include	./cli/poller_reindex_hosts.php:33	require_once($config['base_path'] . '/lib/data_query.php');
dynamic_include	./cli/poller_reindex_hosts.php:34	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/poller_reindex_hosts.php:35	require_once($config['base_path'] . '/lib/snmp.php');
dynamic_include	./cli/poller_reindex_hosts.php:36	require_once($config['base_path'] . '/lib/sort.php');
dynamic_include	./cli/poller_reindex_hosts.php:37	require_once($config['base_path'] . '/lib/template.php');
dynamic_include	./cli/poller_reindex_hosts.php:38	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/poller_replicate.php:27	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/push_out_hosts.php:30	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/rebuild_poller_cache.php:36	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/rebuild_poller_cache.php:37	require_once($config['base_path'] . '/lib/api_data_source.php');
dynamic_include	./cli/rebuild_poller_cache.php:38	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/refresh_csrf.php:27	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/refresh_csrf.php:28	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/remove_broken_graphs.php:27	require_once($config['base_path'] . '/lib/api_data_source.php');
dynamic_include	./cli/remove_broken_graphs.php:28	require_once($config['base_path'] . '/lib/api_graph.php');
dynamic_include	./cli/remove_device.php:27	require_once($config['base_path'] . '/lib/api_automation_tools.php');
dynamic_include	./cli/remove_device.php:28	require_once($config['base_path'] . '/lib/api_data_source.php');
dynamic_include	./cli/remove_device.php:29	require_once($config['base_path'] . '/lib/api_device.php');
dynamic_include	./cli/remove_device.php:30	require_once($config['base_path'] . '/lib/api_graph.php');
dynamic_include	./cli/remove_device.php:31	require_once($config['base_path'] . '/lib/data_query.php');
dynamic_include	./cli/remove_device.php:32	require_once($config['base_path'] . '/lib/snmp.php');
dynamic_include	./cli/remove_device.php:33	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/remove_device.php:34	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/remove_graphs.php:27	require_once($config['base_path'] . '/lib/api_automation_tools.php');
dynamic_include	./cli/remove_graphs.php:28	require_once($config['base_path'] . '/lib/api_data_source.php');
dynamic_include	./cli/remove_graphs.php:29	require_once($config['base_path'] . '/lib/api_graph.php');
dynamic_include	./cli/remove_graphs.php:30	require_once($config['base_path'] . '/lib/data_query.php');
dynamic_include	./cli/remove_graphs.php:31	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/remove_graphs.php:32	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/removespikes.php:31	require_once($config['base_path'] . '/lib/spikekill.php');
dynamic_include	./cli/reorder_data_query.php:27	require_once($config['base_path'] . '/lib/snmp.php');
dynamic_include	./cli/reorder_data_query.php:28	require_once($config['base_path'] . '/lib/data_query.php');
dynamic_include	./cli/repair_graphs.php:29	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/repair_graphs.php:30	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/repair_graphs.php:31	require_once($config['base_path'] . '/lib/template.php');
dynamic_include	./cli/repair_templates.php:27	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/repair_templates.php:28	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/repair_templates.php:29	require_once($config['base_path'] . '/lib/template.php');
dynamic_include	./cli/sqltable_to_php.php:87		include_once($config['library_path'] . '/database.php');
dynamic_include	./cli/upgrade_database.php:140			include($upgrade_file);
dynamic_include	./cli/upgrade_database.php:27	require_once($config['base_path'] . '/lib/data_query.php');
dynamic_include	./cli/upgrade_database.php:28	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cli/upgrade_database.php:29	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./cli/upgrade_database.php:30	require_once($config['base_path'] . '/install/functions.php');
dynamic_include	./cmd.php:118	require_once($config['base_path'] . '/lib/snmp.php');
dynamic_include	./cmd.php:119	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cmd.php:120	require_once($config['base_path'] . '/lib/rrd.php');
dynamic_include	./cmd.php:121	require_once($config['base_path'] . '/lib/ping.php');
dynamic_include	./cmd_realtime.php:26	require_once($config['base_path'] . '/lib/snmp.php');
dynamic_include	./cmd_realtime.php:27	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./cmd_realtime.php:28	require_once($config['base_path'] . '/lib/rrd.php');
dynamic_include	./cmd_realtime.php:29	require_once($config['base_path'] . '/lib/ping.php');
dynamic_include	./color_templates.php:179		include_once($config['base_path'] . '/lib/api_aggregate.php');
dynamic_include	./color_templates.php:379		include_once($config['base_path'] . '/lib/api_aggregate.php');
dynamic_include	./color_templates.php:429		include_once($config['base_path'] . '/lib/api_aggregate.php');
dynamic_include	./color_templates.php:485		include_once($config['base_path'] . '/lib/api_aggregate.php');
dynamic_include	./graph_realtime.php:382	    <?php include($config['base_path'] . '/include/global_session.php'); ?>
dynamic_include	./include/auth.php:112					require_once($config['base_path'] . '/auth_login.php');
dynamic_include	./include/auth.php:167				require_once($config['base_path'] . '/auth_login.php');
dynamic_include	./include/csrf.php:25	require_once($config['include_path'] .'/vendor/csrf/csrf-conf.php');
dynamic_include	./include/csrf.php:56	include_once($config['include_path'] . '/vendor/csrf/csrf-magic.php');
dynamic_include	./include/global.php:277	include_once($config['library_path'] . '/database.php');
dynamic_include	./include/global.php:278	include_once($config['library_path'] . '/functions.php');
dynamic_include	./include/global.php:279	include_once($config['include_path'] . '/global_constants.php');
dynamic_include	./include/global.php:280	include_once($config['library_path'] . '/html.php');
dynamic_include	./include/global.php:281	include_once($config['library_path'] . '/html_utility.php');
dynamic_include	./include/global.php:282	include_once($config['library_path'] . '/html_validate.php');
dynamic_include	./include/global.php:558	include_once($config['include_path'] . '/global_languages.php');
dynamic_include	./include/global.php:559	include_once($config['library_path'] . '/auth.php');
dynamic_include	./include/global.php:560	include_once($config['library_path'] . '/plugins.php');
dynamic_include	./include/global.php:561	include_once($config['include_path'] . '/plugins.php');
dynamic_include	./include/global.php:562	include_once($config['include_path'] . '/global_arrays.php');
dynamic_include	./include/global.php:563	include_once($config['include_path'] . '/global_settings.php');
dynamic_include	./include/global.php:564	include_once($config['include_path'] . '/global_form.php');
dynamic_include	./include/global.php:565	include_once($config['library_path'] . '/html_form.php');
dynamic_include	./include/global.php:566	include_once($config['library_path'] . '/html_filter.php');
dynamic_include	./include/global.php:567	include_once($config['library_path'] . '/variables.php');
dynamic_include	./include/global.php:568	include_once($config['library_path'] . '/mib_cache.php');
dynamic_include	./include/global.php:569	include_once($config['library_path'] . '/poller.php');
dynamic_include	./include/global.php:570	include_once($config['library_path'] . '/snmpagent.php');
dynamic_include	./include/global.php:571	include_once($config['library_path'] . '/aggregate.php');
dynamic_include	./include/global.php:572	include_once($config['library_path'] . '/api_automation.php');
dynamic_include	./include/global.php:573	include_once($config['include_path'] . '/csrf.php');
dynamic_include	./include/global.php:574	include_once($config['include_path'] . '/vendor/autoload.php');
dynamic_include	./include/global_languages.php:173				require_once($providerFull);
dynamic_include	./install/background.php:29	include_once($config['base_path'] . '/install/functions.php');
dynamic_include	./install/background.php:30	include_once($config['base_path'] . '/lib/api_data_source.php');
dynamic_include	./install/background.php:31	include_once($config['base_path'] . '/lib/api_device.php');
dynamic_include	./install/background.php:32	include_once($config['base_path'] . '/lib/api_automation.php');
dynamic_include	./install/background.php:33	include_once($config['base_path'] . '/lib/api_automation_tools.php');
dynamic_include	./install/background.php:34	include_once($config['base_path'] . '/lib/data_query.php');
dynamic_include	./install/background.php:35	include_once($config['base_path'] . '/lib/import.php');
dynamic_include	./install/background.php:36	include_once($config['base_path'] . '/lib/installer.php');
dynamic_include	./install/background.php:37	include_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./install/background.php:38	include_once($config['base_path'] . '/lib/snmp.php');
dynamic_include	./install/background.php:39	include_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./install/functions.php:1136		include_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./install/install.php:29	require_once($config['base_path'] . '/lib/api_automation_tools.php');
dynamic_include	./install/install.php:30	require_once($config['base_path'] . '/lib/api_automation.php');
dynamic_include	./install/install.php:31	require_once($config['base_path'] . '/lib/api_data_source.php');
dynamic_include	./install/install.php:32	require_once($config['base_path'] . '/lib/api_graph.php');
dynamic_include	./install/install.php:33	require_once($config['base_path'] . '/lib/api_device.php');
dynamic_include	./install/install.php:34	require_once($config['base_path'] . '/lib/api_tree.php');
dynamic_include	./install/install.php:35	require_once($config['base_path'] . '/lib/data_query.php');
dynamic_include	./install/install.php:36	require_once($config['base_path'] . '/lib/import.php');
dynamic_include	./install/install.php:37	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./install/install.php:38	require_once($config['base_path'] . '/lib/snmp.php');
dynamic_include	./install/install.php:39	require_once($config['base_path'] . '/lib/sort.php');
dynamic_include	./install/install.php:40	require_once($config['base_path'] . '/lib/template.php');
dynamic_include	./install/install.php:41	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./install/upgrades/0_8_3.php:25	include_once($config['base_path'] . '/lib/template.php');
dynamic_include	./install/upgrades/0_8_3.php:26	include_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./install/upgrades/0_8_6.php:26	include_once($config['base_path'] . "/lib/data_query.php");
dynamic_include	./install/upgrades/0_8_6.php:27	include_once($config["base_path"] . "/lib/import.php");
dynamic_include	./install/upgrades/0_8_6.php:28	include_once($config["base_path"] . "/lib/poller.php");
dynamic_include	./install/upgrades/0_8_7h.php:28		require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./install/upgrades/1_2_20.php:28		include_once($config['base_path'] . '/lib/data_query.php');
dynamic_include	./link.php:92					include_once($file);
dynamic_include	./poller.php:1042	    include_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./poller.php:1193	    include_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./poller.php:35	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./poller.php:36	require_once($config['base_path'] . '/lib/data_query.php');
dynamic_include	./poller.php:37	require_once($config['base_path'] . '/lib/rrd.php');
dynamic_include	./poller.php:38	require_once($config['base_path'] . '/lib/dsstats.php');
dynamic_include	./poller.php:39	require_once($config['base_path'] . '/lib/dsdebug.php');
dynamic_include	./poller.php:40	require_once($config['base_path'] . '/lib/boost.php');
dynamic_include	./poller.php:41	require_once($config['base_path'] . '/lib/reports.php');
dynamic_include	./poller.php:42	require_once($config['base_path'] . '/lib/rrdcheck.php');
dynamic_include	./poller_automation.php:35	require_once($config['base_path'] . '/lib/api_device.php');
dynamic_include	./poller_automation.php:36	require_once($config['base_path'] . '/lib/api_data_source.php');
dynamic_include	./poller_automation.php:37	require_once($config['base_path'] . '/lib/api_graph.php');
dynamic_include	./poller_automation.php:38	require_once($config['base_path'] . '/lib/api_tree.php');
dynamic_include	./poller_automation.php:39	require_once($config['base_path'] . '/lib/data_query.php');
dynamic_include	./poller_automation.php:40	require_once($config['base_path'] . '/lib/html_form_template.php');
dynamic_include	./poller_automation.php:41	require_once($config['base_path'] . '/lib/ping.php');
dynamic_include	./poller_automation.php:42	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./poller_automation.php:43	require_once($config['base_path'] . '/lib/snmp.php');
dynamic_include	./poller_automation.php:44	require_once($config['base_path'] . '/lib/sort.php');
dynamic_include	./poller_automation.php:45	require_once($config['base_path'] . '/lib/template.php');
dynamic_include	./poller_automation.php:46	require_once($config['base_path'] . '/lib/utility.php');
dynamic_include	./poller_boost.php:35	require_once($config['base_path'] . '/lib/poller.php');
dynamic_include	./poller_boost.php:36	require_once($config['base_path'] . '/lib/boost.php');
dynamic_include	./poller_boost.php:37	require_once($config['base_path'] . '/lib/dsstats.php');
dynamic_include	./poller_boost.php:38	require_once($config['base_path'] . '/lib/rrdcheck.php');
dynamic_include	./poller_boost.php:39	require_once($config['base_path'] . '/lib/rrd.php');
dynamic_include	./poller_boost.php:717		include_once($config['library_path'] . '/rrd.php');
dynamic_include	./poller_commands.php:40	require_once($config['base_path'] . '/lib/api_device.php');
dynamic_include	./poller_commands.php:41	require_once($config['base_path'] . '/lib/api_data_source.php');
dynamic_include	./poller_commands.php:42	require_once($config['base_path'] . '/lib/api_graph.php');
dynamic_include	./poller_commands.php:43	require_once($config['base_path'] . '/lib/api_tree.php');
dynamic_include	./poller_commands.php:44	require_once($config['base_path'] . '/lib/data_query.php');
